'MANUFACTURERID',TRANSACTIONDATE,'EMPLOYEEID','AMOUNT','DESCRIPTION','REFERENCE'
3,'1996-02-15',88873,10816,'Automatic EOQ Inventory purchase',452
3,'1996-02-09',87295,-18256.96,'Automatic payment of bills',435
3,'1995-08-05',29387,-18671.72,'Automatic payment of bills',333
3,'1996-01-14',87295,18256.96,'Automatic EOQ Inventory purchase',435
3,'1996-06-11',88873,18189.36,'Automatic EOQ Inventory purchase',520
3,'1995-12-26',73735,-14604.76,'Automatic payment of bills',401
3,'1995-12-09',88873,14809.38,'Automatic EOQ Inventory purchase',418
3,'1995-11-18',88873,14604.76,'Automatic EOQ Inventory purchase',401
3,'1995-11-16',88873,-17078.38,'Automatic payment of bills',384
3,'1995-10-20',73735,17078.38,'Automatic EOQ Inventory purchase',384
3,'1995-10-16',22343,-17629.1,'Automatic payment of bills',367
3,'1995-09-17',22343,17629.1,'Automatic EOQ Inventory purchase',367
3,'1997-03-21',15293,-17974.06,'Automatic payment of bills',622
3,'1996-02-06',29387,14809.38,'Automatic refund for overpayment',418
3,'1996-11-01',29387,-18723.18,'Automatic payment of bills',588
3,'1997-03-10',29387,-11913.86,'Automatic payment of bills',656
3,'1997-03-08',87295,11718.03,'Automatic EOQ Inventory purchase',677
3,'1997-02-17',51512,17974.06,'Automatic refund for overpayment',622
3,'1997-02-11',88873,11913.86,'Automatic EOQ Inventory purchase',656
3,'1997-01-29',22343,-17332.01,'Automatic payment of bills',639
3,'1997-01-15',29387,-17974.06,'Automatic payment of bills',622
3,'1997-01-01',73735,17332.01,'Automatic EOQ Inventory purchase',639
3,'1996-12-15',73735,17974.06,'Automatic EOQ Inventory purchase',622
3,'1996-05-13',88873,-14627.02,'Automatic payment of bills',486
3,'1996-11-14',29387,15626.5,'Automatic EOQ Inventory purchase',605
3,'1996-05-16',29387,19892.74,'Automatic EOQ Inventory purchase',503
3,'1996-10-07',51512,-21351.06,'Automatic payment of bills',571
3,'1996-09-06',88873,-17379.06,'Automatic payment of bills',554
3,'1996-08-06',87295,17379.06,'Automatic EOQ Inventory purchase',554
3,'1996-07-28',89097,-16595.2,'Automatic payment of bills',537
3,'1996-07-08',51512,-18189.36,'Automatic payment of bills',520
3,'1996-07-02',73735,16595.2,'Automatic EOQ Inventory purchase',537
3,'1996-06-13',88873,-19892.74,'Automatic payment of bills',503
3,'1995-08-04',51512,17127.67,'Automatic EOQ Inventory purchase',350
3,'1996-12-12',87295,-15626.5,'Automatic payment of bills',605
3,'1994-07-07',89097,5182.36,'Automatic EOQ Inventory purchase',81
3,'1994-11-08',73735,-7011.06,'Automatic payment of bills',131
3,'1994-10-12',73735,-8114.17,'Automatic payment of bills',113
3,'1994-10-11',51512,7011.06,'Automatic EOQ Inventory purchase',131
3,'1994-10-03',87295,-605.5,'Automatic payment of bills',223
3,'1994-09-14',15293,8114.17,'Automatic EOQ Inventory purchase',113
3,'1994-09-06',88873,-8397.43,'Automatic payment of bills',96
3,'1994-09-01',51512,605.5,'Automatic EOQ Inventory purchase',223
3,'1995-09-10',51512,-17127.67,'Automatic payment of bills',350
3,'1994-08-03',73735,-5182.36,'Automatic payment of bills',81
3,'1994-12-14',88873,-8768.87,'Automatic payment of bills',149
3,'1994-07-02',15293,-5391.79,'Automatic payment of bills',69
3,'1994-06-24',51512,-4886,'Automatic payment of bills',57
3,'2000-04-20',51512,1261.68,'Automatic EOQ Inventory purchase',7303
3,'1994-05-20',15293,4886,'Automatic EOQ Inventory purchase',57
3,'1996-10-08',22343,18723.18,'Automatic EOQ Inventory purchase',588
3,'1994-04-11',73735,1684.88,'Automatic EOQ Inventory purchase',48
3,'1994-02-02',51512,-105024,'Automatic payment of bills',3
3,'1994-01-01',87295,105024,'Initial Purchase for startup',3
3,'1994-08-09',87295,8397.43,'Automatic EOQ Inventory purchase',96
3,'1995-03-13',22343,-14932.08,'Automatic payment of bills',248
3,'1995-07-09',15293,-15948.17,'Automatic payment of bills',316
3,'1995-07-04',89097,18671.72,'Automatic EOQ Inventory purchase',333
3,'1995-06-12',87295,15948.17,'Automatic EOQ Inventory purchase',316
3,'1995-05-29',29387,-13756.16,'Automatic payment of bills',299
3,'1995-05-13',73735,-16990.87,'Automatic payment of bills',282
3,'1995-05-03',22343,13756.16,'Automatic EOQ Inventory purchase',299
3,'1995-04-16',87295,-17401.71,'Automatic payment of bills',265
3,'1995-04-13',51512,16990.87,'Automatic EOQ Inventory purchase',282
3,'1994-11-14',29387,8768.87,'Automatic EOQ Inventory purchase',149
3,'1995-03-19',22343,17401.71,'Automatic EOQ Inventory purchase',265
3,'1994-12-06',87295,12405.07,'Automatic EOQ Inventory purchase',167
3,'1995-03-03',88873,-12405.07,'Automatic payment of bills',167
3,'1995-02-19',22343,795.76,'Automatic EOQ Inventory purchase',233
3,'1995-02-10',51512,14932.08,'Automatic EOQ Inventory purchase',248
3,'1995-02-06',88873,12405.07,'Automatic refund for overpayment',167
3,'1995-02-04',51512,-9648.01,'Automatic payment of bills',185
3,'1995-01-09',15293,9648.01,'Automatic EOQ Inventory purchase',185
2,'2001-08-06',88873,76516.84,'Automatic EOQ Inventory purchase',7692
2,'2001-10-28',89097,-82350.26,'Automatic payment of bills',7717
2,'2001-10-12',87295,-69858.88,'Automatic payment of bills',8326
2,'2001-10-11',73735,70544.61,'Automatic EOQ Inventory purchase',7742
2,'2001-10-03',29387,38401.69,'Automatic EOQ Inventory purchase',8346
2,'2001-09-30',51512,82350.26,'Automatic EOQ Inventory purchase',7717
2,'2001-09-11',88873,69858.88,'Automatic EOQ Inventory purchase',8326
2,'2001-08-31',51512,-53812.47,'Automatic payment of bills',8307
2,'2001-08-31',15293,-76516.84,'Automatic payment of bills',7692
2,'2002-05-07',89097,-57001.88,'Automatic payment of bills',8468
2,'2001-08-12',88873,-77439.42,'Automatic payment of bills',8287
2,'2001-11-14',22343,76803.21,'Automatic EOQ Inventory purchase',8365
2,'2001-08-04',88873,53812.47,'Automatic EOQ Inventory purchase',8307
2,'2001-08-02',87295,-77450.04,'Automatic payment of bills',7642
2,'2001-07-22',51512,-70021.87,'Automatic payment of bills',8267
2,'2001-07-21',51512,78384.89,'Automatic EOQ Inventory purchase',7667
2,'2001-07-15',87295,77439.42,'Automatic EOQ Inventory purchase',8287
2,'2001-07-10',88873,77450.04,'Automatic EOQ Inventory purchase',7642
2,'2001-06-19',88873,70021.87,'Automatic EOQ Inventory purchase',8267
2,'2001-06-10',73735,-77038.04,'Automatic payment of bills',8247
2,'2001-08-24',15293,-78384.89,'Automatic payment of bills',7667
2,'2002-02-05',15293,75510.95,'Automatic EOQ Inventory purchase',7817
2,'2000-02-13',73735,-122994.92,'Automatic payment of bills',7238
2,'2002-04-26',89097,78392.9,'Automatic EOQ Inventory purchase',7892
2,'2002-04-12',29387,-41957.4,'Automatic payment of bills',8446
2,'2002-04-04',89097,57001.88,'Automatic EOQ Inventory purchase',8468
2,'2002-03-19',15293,-57700.92,'Automatic payment of bills',8424
2,'2002-03-14',88873,41957.4,'Automatic EOQ Inventory purchase',8446
2,'2002-03-14',51512,-75510.95,'Automatic payment of bills',7817
2,'2002-02-16',29387,57700.92,'Automatic EOQ Inventory purchase',8424
2,'2001-11-03',89097,-38401.69,'Automatic payment of bills',8346
2,'2002-02-10',51512,-102350.78,'Automatic payment of bills',8404
2,'2001-11-04',22343,-70544.61,'Automatic payment of bills',7742
2,'2002-01-29',73735,-77546,'Automatic payment of bills',7792
2,'2002-01-15',89097,-93304.85,'Automatic payment of bills',8384
2,'2002-01-10',88873,102350.78,'Automatic EOQ Inventory purchase',8404
2,'2001-12-30',73735,77546,'Automatic EOQ Inventory purchase',7792
2,'2001-12-21',51512,-78684.62,'Automatic payment of bills',7767
2,'2001-12-20',87295,-76803.21,'Automatic payment of bills',8365
2,'2001-12-17',51512,93304.85,'Automatic EOQ Inventory purchase',8384
2,'2001-11-17',51512,78684.62,'Automatic EOQ Inventory purchase',7767
2,'2001-05-12',88873,-69949.19,'Automatic payment of bills',7592
2,'2002-02-12',87295,80652.8,'Automatic EOQ Inventory purchase',7842
2,'2000-05-29',22343,-5558.33,'Automatic payment of bills',7302
2,'2001-05-31',22343,-77210.16,'Automatic payment of bills',7617
2,'2000-09-21',73735,-71127.74,'Automatic payment of bills',7392
2,'2000-09-04',88873,88603,'Automatic EOQ Inventory purchase',7417
2,'2000-08-18',88873,71127.74,'Automatic EOQ Inventory purchase',7392
2,'2000-07-27',29387,-79855.67,'Automatic payment of bills',7367
2,'2000-07-06',22343,79855.67,'Automatic EOQ Inventory purchase',7367
2,'2000-07-05',51512,-78849.83,'Automatic payment of bills',7342
2,'2000-06-27',89097,-30614.93,'Automatic payment of bills',7317
2,'2000-11-02',87295,85288.54,'Automatic EOQ Inventory purchase',7467
2,'2000-06-01',51512,30614.93,'Automatic EOQ Inventory purchase',7317
2,'2000-11-07',87295,77219.45,'Automatic EOQ Inventory purchase',7442
2,'2000-05-02',29387,5558.33,'Automatic EOQ Inventory purchase',7302
2,'2000-04-12',29387,-750.21,'Automatic payment of bills',7300
2,'2000-04-05',89097,-119068.41,'Automatic payment of bills',1439
2,'2000-03-21',51512,750.21,'Automatic EOQ Inventory purchase',7300
2,'2000-03-20',73735,-4430.76,'Automatic payment of bills',7264
2,'2000-03-13',51512,119068.41,'Automatic EOQ Inventory purchase',1439
2,'2000-03-05',73735,-150128.61,'Automatic payment of bills',1414
2,'2000-02-27',73735,-15819.43,'Automatic payment of bills',7282
2,'2000-02-20',51512,4430.76,'Automatic EOQ Inventory purchase',7264
2,'2000-06-04',88873,78849.83,'Automatic EOQ Inventory purchase',7342
2,'2001-03-19',22343,108406.14,'Automatic EOQ Inventory purchase',8208
2,'2002-05-09',88873,83381.29,'Automatic EOQ Inventory purchase',7917
2,'2001-05-11',51512,-66961.29,'Automatic payment of bills',7567
2,'2001-05-07',22343,77038.04,'Automatic EOQ Inventory purchase',8247
2,'2001-05-04',51512,77210.16,'Automatic EOQ Inventory purchase',7617
2,'2001-04-20',51512,69949.19,'Automatic EOQ Inventory purchase',7592
2,'2001-04-18',87295,-108406.14,'Automatic payment of bills',8208
2,'2001-04-17',51512,69519.12,'Automatic EOQ Inventory purchase',8228
2,'2001-04-09',87295,66961.29,'Automatic EOQ Inventory purchase',7567
2,'2000-10-04',29387,-88603,'Automatic payment of bills',7417
2,'2001-03-20',29387,-11191.87,'Automatic payment of bills',8188
2,'2001-05-13',73735,-69519.12,'Automatic payment of bills',8228
2,'2001-03-01',73735,94085.42,'Automatic EOQ Inventory purchase',7542
2,'2001-02-23',73735,78154.6,'Automatic refund for overpayment',7492
2,'2001-02-20',51512,-84526.53,'Automatic payment of bills',7517
2,'2001-02-19',73735,11191.87,'Automatic EOQ Inventory purchase',8188
2,'2001-01-24',51512,-78154.6,'Automatic payment of bills',7492
2,'2001-01-20',51512,84526.53,'Automatic EOQ Inventory purchase',7517
2,'2000-12-28',51512,78154.6,'Automatic EOQ Inventory purchase',7492
2,'2000-11-26',29387,-77219.45,'Automatic payment of bills',7442
2,'2000-11-24',88873,-85288.54,'Automatic payment of bills',7467
2,'2001-04-05',51512,-94085.42,'Automatic payment of bills',7542
2,'2003-11-12',22343,76284.33,'Automatic EOQ Inventory purchase',8920
2,'2004-04-09',73735,151506.36,'Automatic EOQ Inventory purchase',9050
2,'2004-04-02',15293,-139275.44,'Automatic payment of bills',9024
2,'2004-03-06',29387,-147421.6,'Automatic payment of bills',8998
2,'2004-03-04',22343,139275.44,'Automatic EOQ Inventory purchase',9024
2,'2004-02-10',15293,-167450.09,'Automatic payment of bills',8972
2,'2004-02-04',87295,147421.6,'Automatic EOQ Inventory purchase',8998
2,'2004-01-10',51512,167450.09,'Automatic EOQ Inventory purchase',8972
2,'2004-01-08',88873,-137563.44,'Automatic payment of bills',8946
2,'2002-04-28',73735,-69446.18,'Automatic payment of bills',7867
2,'2003-12-11',15293,137563.44,'Automatic EOQ Inventory purchase',8946
2,'2004-06-05',51512,-83867.23,'Automatic payment of bills',9077
2,'2003-11-06',29387,-83742.46,'Automatic payment of bills',8894
2,'2003-10-08',29387,-102962.23,'Automatic payment of bills',8869
2,'2003-10-07',22343,83742.46,'Automatic EOQ Inventory purchase',8894
2,'2003-09-06',29387,102962.23,'Automatic EOQ Inventory purchase',8869
2,'2003-09-02',89097,-104152,'Automatic payment of bills',8844
2,'2003-08-04',73735,-109111.86,'Automatic payment of bills',8819
2,'2003-08-01',51512,104152,'Automatic EOQ Inventory purchase',8844
2,'2003-07-11',51512,109111.86,'Automatic EOQ Inventory purchase',8819
2,'2003-12-18',87295,-76284.33,'Automatic payment of bills',8920
2,'2004-10-17',22343,-106904.77,'Automatic payment of bills',9186
2,'1994-01-01',87295,250902.9,'Initial Purchase for startup',2
2,'2005-03-06',87295,-164524.22,'Automatic payment of bills',9326
2,'2005-02-10',29387,-145703.95,'Automatic payment of bills',9298
2,'2005-02-02',89097,164524.22,'Automatic EOQ Inventory purchase',9326
2,'2005-01-11',29387,145703.95,'Automatic EOQ Inventory purchase',9298
2,'2005-01-07',51512,-141199.62,'Automatic payment of bills',9270
2,'2004-12-08',87295,141199.62,'Automatic EOQ Inventory purchase',9270
2,'2004-12-05',73735,-69422.43,'Automatic payment of bills',9242
2,'2004-05-07',51512,83867.23,'Automatic EOQ Inventory purchase',9077
2,'2004-11-07',29387,69422.43,'Automatic EOQ Inventory purchase',9242
2,'2004-05-12',22343,-151506.36,'Automatic payment of bills',9050
2,'2004-10-13',87295,64993.04,'Automatic EOQ Inventory purchase',9214
2,'2004-09-13',73735,106904.77,'Automatic EOQ Inventory purchase',9186
2,'2004-09-08',22343,-108766.24,'Automatic payment of bills',9158
2,'2004-08-12',88873,108766.24,'Automatic EOQ Inventory purchase',9158
2,'2004-08-01',88873,-88780.56,'Automatic payment of bills',9131
2,'2004-07-19',87295,-90245.81,'Automatic payment of bills',9104
2,'2004-07-02',22343,88780.56,'Automatic EOQ Inventory purchase',9131
2,'2004-06-19',73735,90245.81,'Automatic EOQ Inventory purchase',9104
2,'2003-05-28',88873,-116889.22,'Automatic payment of bills',8769
2,'2004-11-12',88873,-64993.04,'Automatic payment of bills',9214
2,'2002-07-31',88873,84583.07,'Automatic EOQ Inventory purchase',7967
2,'2003-07-08',22343,-126492.56,'Automatic payment of bills',8794
2,'2002-10-02',22343,-101102.38,'Automatic payment of bills',8580
2,'2002-09-26',22343,72317.69,'Automatic EOQ Inventory purchase',8017
2,'2002-09-21',73735,-64407.69,'Automatic payment of bills',7992
2,'2002-09-18',22343,-105302.69,'Automatic payment of bills',8557
2,'2002-09-07',22343,-84583.07,'Automatic payment of bills',7967
2,'2002-09-04',22343,101102.38,'Automatic EOQ Inventory purchase',8580
2,'2002-08-20',51512,64407.69,'Automatic EOQ Inventory purchase',7992
2,'2002-10-06',15293,65456.33,'Automatic EOQ Inventory purchase',8042
2,'2002-08-17',29387,-51428.97,'Automatic payment of bills',8535
2,'2002-10-23',87295,-72317.69,'Automatic payment of bills',8017
2,'2002-07-19',22343,51428.97,'Automatic EOQ Inventory purchase',8535
2,'2002-07-15',29387,-64879.04,'Automatic payment of bills',8512
2,'2002-06-25',29387,-79996.76,'Automatic payment of bills',7942
2,'2002-06-20',87295,-69342.11,'Automatic payment of bills',8490
2,'2002-06-14',29387,64879.04,'Automatic EOQ Inventory purchase',8512
2,'2002-06-07',87295,-83381.29,'Automatic payment of bills',7917
2,'2002-06-01',87295,79996.76,'Automatic EOQ Inventory purchase',7942
2,'2002-05-20',51512,69342.11,'Automatic EOQ Inventory purchase',8490
2,'2002-05-15',22343,-78392.9,'Automatic payment of bills',7892
2,'2002-08-17',88873,105302.69,'Automatic EOQ Inventory purchase',8557
2,'2003-01-04',73735,129167.9,'Automatic EOQ Inventory purchase',8669
2,'2002-03-19',22343,-80652.8,'Automatic payment of bills',7842
2,'2003-05-02',51512,116889.22,'Automatic EOQ Inventory purchase',8769
2,'2003-05-01',87295,-143273.4,'Automatic payment of bills',8743
2,'2003-04-04',22343,143273.4,'Automatic EOQ Inventory purchase',8743
2,'2003-04-01',51512,-123570.4,'Automatic payment of bills',8718
2,'2003-03-06',51512,123570.4,'Automatic EOQ Inventory purchase',8718
2,'2003-03-05',73735,-131585.45,'Automatic payment of bills',8693
2,'2003-02-03',87295,131585.45,'Automatic EOQ Inventory purchase',8693
2,'2002-10-02',29387,52819.24,'Automatic EOQ Inventory purchase',8603
2,'2003-01-07',15293,-107051.92,'Automatic payment of bills',8647
2,'2003-06-05',29387,126492.56,'Automatic EOQ Inventory purchase',8794
2,'2002-12-30',73735,-68858.31,'Automatic payment of bills',8092
2,'2002-12-17',87295,-67220.58,'Automatic payment of bills',8625
2,'2002-12-11',73735,107051.92,'Automatic EOQ Inventory purchase',8647
2,'2002-12-11',29387,-66544.01,'Automatic payment of bills',8067
2,'2002-12-07',88873,68858.31,'Automatic EOQ Inventory purchase',8092
2,'2002-11-14',51512,67220.58,'Automatic EOQ Inventory purchase',8625
2,'2002-11-12',29387,66544.01,'Automatic EOQ Inventory purchase',8067
2,'2002-11-12',22343,-65456.33,'Automatic payment of bills',8042
2,'2002-11-01',87295,-52819.24,'Automatic payment of bills',8603
2,'2003-02-02',29387,-129167.9,'Automatic payment of bills',8669
2,'1995-08-15',22343,44799.51,'Automatic EOQ Inventory purchase',349
2,'1995-03-18',29387,47565.76,'Automatic EOQ Inventory purchase',264
2,'1996-01-03',73735,-40661.21,'Automatic payment of bills',417
2,'1995-12-07',87295,40661.21,'Automatic EOQ Inventory purchase',417
2,'1995-12-06',51512,-37374.59,'Automatic payment of bills',400
2,'1995-11-11',51512,37374.59,'Automatic EOQ Inventory purchase',400
2,'1995-11-05',73735,-55035.05,'Automatic payment of bills',383
2,'1995-10-07',88873,55035.05,'Automatic EOQ Inventory purchase',383
2,'1995-10-02',15293,-48633.19,'Automatic payment of bills',366
2,'1996-02-03',89097,40661.21,'Automatic refund for overpayment',417
2,'1995-09-04',22343,48633.19,'Automatic EOQ Inventory purchase',366
2,'1996-02-14',73735,-44521.28,'Automatic payment of bills',434
2,'1995-08-07',51512,-46830.59,'Automatic payment of bills',332
2,'1995-07-10',22343,-44228.9,'Automatic payment of bills',315
2,'1995-07-09',87295,46830.59,'Automatic EOQ Inventory purchase',332
2,'1995-06-14',15293,44228.9,'Automatic EOQ Inventory purchase',315
2,'1995-06-14',89097,-41699.59,'Automatic payment of bills',298
2,'1995-05-15',29387,41699.59,'Automatic EOQ Inventory purchase',298
2,'1995-05-05',73735,-49424.02,'Automatic payment of bills',281
2,'1995-04-14',89097,-47565.76,'Automatic payment of bills',264
2,'1996-12-07',29387,73883.81,'Automatic EOQ Inventory purchase',621
2,'1995-09-15',73735,-44799.51,'Automatic payment of bills',349
2,'1996-06-16',22343,73669.56,'Automatic EOQ Inventory purchase',519
2,'1996-11-10',15293,60713.41,'Automatic EOQ Inventory purchase',604
2,'1996-11-04',88873,-63347.24,'Automatic payment of bills',587
2,'1996-10-17',51512,-76344.5,'Automatic payment of bills',570
2,'1996-10-06',89097,63347.24,'Automatic EOQ Inventory purchase',587
2,'1996-09-18',51512,76344.5,'Automatic EOQ Inventory purchase',570
2,'1996-09-10',22343,-58574.32,'Automatic payment of bills',553
2,'1996-08-09',88873,58574.32,'Automatic EOQ Inventory purchase',553
2,'1996-08-08',29387,-56178.85,'Automatic payment of bills',536
2,'1996-01-12',22343,44521.28,'Automatic EOQ Inventory purchase',434
2,'1996-07-08',29387,56178.85,'Automatic EOQ Inventory purchase',536
2,'1995-03-16',29387,-3654.71,'Automatic payment of bills',232
2,'1996-06-01',29387,-74566.01,'Automatic payment of bills',502
2,'1996-05-16',87295,-64251.85,'Automatic payment of bills',485
2,'1996-05-03',29387,74566.01,'Automatic EOQ Inventory purchase',502
2,'1996-04-15',29387,64251.85,'Automatic EOQ Inventory purchase',485
2,'1996-04-10',73735,-63773.79,'Automatic payment of bills',468
2,'1996-03-18',15293,-32210.41,'Automatic payment of bills',451
2,'1996-03-12',29387,63773.79,'Automatic EOQ Inventory purchase',468
2,'1996-03-06',51512,-40661.21,'Automatic payment of bills',417
2,'1996-02-16',87295,32210.41,'Automatic EOQ Inventory purchase',451
2,'1996-07-18',51512,-73669.56,'Automatic payment of bills',519
2,'1994-05-03',88873,60.89,'Automatic EOQ Inventory purchase',206
2,'1995-04-06',88873,49424.02,'Automatic EOQ Inventory purchase',281
2,'1994-07-06',22343,-480.28,'Automatic payment of bills',211
2,'1994-06-30',73735,-11577.18,'Automatic payment of bills',68
2,'1994-06-11',22343,-6804.75,'Automatic payment of bills',56
2,'1994-06-09',87295,-60.89,'Automatic payment of bills',206
2,'1994-06-05',51512,480.28,'Automatic EOQ Inventory purchase',211
2,'1994-06-03',88873,11577.18,'Automatic EOQ Inventory purchase',68
2,'1994-05-10',51512,6804.75,'Automatic EOQ Inventory purchase',56
2,'1994-08-10',89097,-15512.2,'Automatic payment of bills',80
2,'1994-05-05',15293,-3097.24,'Automatic payment of bills',47
2,'1994-08-13',29387,235.28,'Automatic EOQ Inventory purchase',219
2,'1994-04-20',22343,-1553.86,'Automatic payment of bills',42
2,'1994-04-07',29387,264,'Automatic EOQ Inventory purchase',205
2,'2000-02-11',88873,15819.43,'Automatic EOQ Inventory purchase',7282
2,'1994-03-19',22343,1553.86,'Automatic EOQ Inventory purchase',42
2,'2002-03-30',29387,69446.18,'Automatic EOQ Inventory purchase',7867
2,'1994-03-08',73735,-193.58,'Automatic payment of bills',202
2,'1994-02-19',15293,7670.33,'Automatic EOQ Inventory purchase',36
2,'1994-02-03',73735,193.58,'Automatic EOQ Inventory purchase',202
2,'1994-01-31',87295,-250902.9,'Automatic payment of bills',2
2,'1994-05-05',29387,-264,'Automatic payment of bills',205
2,'1994-11-05',73735,28504.21,'Automatic EOQ Inventory purchase',148
2,'1995-03-15',15293,-41532.47,'Automatic payment of bills',166
2,'1995-03-08',51512,-37592.37,'Automatic payment of bills',247
2,'1995-02-19',22343,3654.71,'Automatic EOQ Inventory purchase',232
2,'1995-02-12',88873,41532.47,'Automatic refund for overpayment',166
2,'1995-02-06',73735,37592.37,'Automatic EOQ Inventory purchase',247
2,'1995-02-03',87295,-36333.76,'Automatic payment of bills',184
2,'1995-01-15',15293,-41532.47,'Automatic payment of bills',166
2,'1995-01-09',87295,36333.76,'Automatic EOQ Inventory purchase',184
2,'1994-07-11',15293,15512.2,'Automatic EOQ Inventory purchase',80
2,'1994-12-06',51512,-28504.21,'Automatic payment of bills',148
2,'1994-04-04',29387,3097.24,'Automatic EOQ Inventory purchase',47
2,'1994-10-31',89097,-30591.82,'Automatic payment of bills',130
2,'1994-10-20',29387,-514.24,'Automatic payment of bills',222
2,'1994-10-11',87295,-28134.69,'Automatic payment of bills',112
2,'1994-10-03',22343,30591.82,'Automatic EOQ Inventory purchase',130
2,'1994-09-20',88873,514.24,'Automatic EOQ Inventory purchase',222
2,'1994-09-19',22343,-28958.42,'Automatic payment of bills',95
2,'1994-09-14',51512,-235.28,'Automatic payment of bills',219
2,'1994-09-11',51512,28134.69,'Automatic EOQ Inventory purchase',112
2,'1994-08-20',51512,28958.42,'Automatic EOQ Inventory purchase',95
2,'1994-12-14',22343,41532.47,'Automatic EOQ Inventory purchase',166
2,'1999-01-13',73735,-37013.36,'Automatic payment of bills',1096
2,'1998-08-12',15293,-136838.6,'Automatic payment of bills',996
2,'1999-04-03',73735,115055.86,'Automatic EOQ Inventory purchase',1164
2,'1999-04-02',87295,-87314.78,'Automatic payment of bills',1139
2,'1999-03-16',29387,83.09,'Automatic EOQ Inventory purchase',8179
2,'1999-03-11',88873,-7575.45,'Automatic payment of bills',1114
2,'1999-03-02',73735,87314.78,'Automatic EOQ Inventory purchase',1139
2,'1999-02-14',73735,37013.36,'Automatic refund for overpayment',1096
2,'1999-02-06',88873,7575.45,'Automatic EOQ Inventory purchase',1114
2,'1999-05-08',51512,-115055.86,'Automatic payment of bills',1164
2,'1999-01-20',73735,66909.63,'Automatic EOQ Inventory purchase',8139
2,'1999-05-14',22343,141251.96,'Automatic EOQ Inventory purchase',1189
2,'1998-12-13',88873,28445.7,'Automatic EOQ Inventory purchase',8119
2,'1998-12-12',87295,37013.36,'Automatic EOQ Inventory purchase',1096
2,'1998-12-01',89097,-133872.16,'Automatic payment of bills',1076
2,'1998-11-12',87295,-139877.97,'Automatic payment of bills',1056
