'CUSTOMERID',TRANSACTIONDATE,'EMPLOYEEID','AMOUNT','DESCRIPTION','REFERENCE'
212,'1994-09-24',89097,-234,'Monthly payment #5',79
212,'1994-12-28',51512,-3552.4,'Single/final payment for purchase',959
212,'1994-12-25',51512,-234,'Monthly payment #8',79
212,'1994-11-27',29387,3552.4,'Order was shipped',959
212,'1994-11-25',29387,-2481.8,'Single/final payment for purchase',855
212,'1994-11-24',51512,-234,'Monthly payment #7',79
212,'1994-10-29',15293,-234,'Monthly payment #6',79
212,'1994-10-22',51512,2481.8,'Order was shipped',855
212,'1994-06-23',34192,-1318.4,'Monthly payment #3',847
212,'1994-02-19',87295,3955.2,'Order was shipped',847
212,'1994-06-24',34192,-234,'Monthly payment #2',79
212,'1994-07-25',51512,-234,'Monthly payment #3',79
212,'1994-05-24',15293,-234,'Monthly payment #1',79
212,'1994-05-21',87295,-1318.4,'Monthly payment #2',847
212,'1994-04-21',51512,-1318.4,'Monthly payment #1',847
212,'1994-03-23',87295,1872,'Order was shipped',79
212,'1994-08-23',87295,-234,'Monthly payment #4',79
217,'1994-10-12',51512,-1513.75,'Single/final payment for purchase',337
217,'1994-09-11',15293,1513.75,'Order was shipped',337
218,'1994-10-15',51512,-3657.75,'Single/final payment for purchase',791
218,'1994-09-16',87295,3719,'Order was shipped',791
218,'1994-04-20',89097,1907.5,'Order was shipped',225
218,'1994-05-22',51512,-1968.75,'Single/final payment for purchase',225
219,'1994-07-15',51512,2642.5,'Order was shipped',285
219,'1994-08-19',51512,-2642.5,'Single/final payment for purchase',285
220,'1994-09-09',87295,-329,'Monthly payment #5',203
220,'1997-08-04',51512,2881.05,'Order was shipped',4595
220,'1997-09-08',51512,-2881.05,'Single/final payment for purchase',4595
220,'1994-11-11',46583,-340,'Monthly payment #7',203
220,'1994-10-10',98766,-340,'Monthly payment #6',203
220,'1994-08-05',46583,-340,'Monthly payment #4',203
220,'1994-07-08',89097,-340,'Monthly payment #3',203
220,'1994-06-13',34192,-340,'Monthly payment #2',203
220,'1994-03-06',51512,2369,'Order was shipped',203
220,'1994-05-12',15293,-340,'Monthly payment #1',203
221,'1994-03-13',87295,3228.8,'Order was shipped',302
221,'1994-04-14',46583,-3228.8,'Single/final payment for purchase',302
223,'1994-03-11',15293,2826,'Order was shipped',67
223,'1994-04-10',46583,-2826.01,'Single/final payment for purchase',67
225,'1994-01-14',29387,3383,'Order was shipped',867
225,'1994-09-19',29387,-717.5,'Monthly payment #1',86
225,'1994-10-26',46583,-717.5,'Monthly payment #2',86
225,'1994-02-17',46583,-3383,'Single/final payment for purchase',867
225,'1994-07-20',87295,1435,'Order was shipped',86
226,'1994-03-22',29387,2492.4,'Order was shipped',756
226,'1994-04-25',46583,-2492.41,'Single/final payment for purchase',756
226,'1994-05-09',87295,2587.5,'Order was shipped',107
226,'1994-06-13',46583,-2587.5,'Single/final payment for purchase',107
226,'2003-12-29',89097,5052,'Order was shipped',25200
226,'2004-01-30',98766,-5052,'Single/final payment for purchase',25200
227,'1994-01-17',87295,1448,'Order was shipped',309
227,'1997-08-26',51512,-3678.8,'Single/final payment for purchase',4696
227,'1994-02-23',46583,-1448,'Single/final payment for purchase',309
227,'1997-07-25',51512,3678.8,'Order was shipped',4696
228,'1994-11-21',51512,-426.77,'Monthly payment #3',778
228,'1994-07-03',15293,3684.2,'Order was shipped',938
228,'1995-03-20',51512,-426.78,'Monthly payment #7',778
228,'1995-02-18',87295,-426.77,'Monthly payment #6',778
228,'1995-01-21',89097,-426.77,'Monthly payment #5',778
228,'1994-12-18',87295,-426.77,'Monthly payment #4',778
228,'1994-09-19',51512,-426.77,'Monthly payment #2',778
228,'1994-08-04',51512,-3684.2,'Single/final payment for purchase',938
228,'1994-06-17',51512,2987.4,'Order was shipped',778
228,'1994-03-01',46583,-1682.03,'Single/final payment for purchase',103
228,'1994-01-24',87295,1682,'Order was shipped',103
228,'1994-08-18',15293,-426.77,'Monthly payment #1',778
229,'1994-11-04',87295,1368.5,'Order was shipped',231
229,'1994-12-03',51512,-1368.5,'Single/final payment for purchase',231
230,'1994-11-27',15293,-265.3999,'Monthly payment #6',74
230,'2004-02-25',51512,3434.89,'Order was shipped',24950
230,'2004-08-26',34192,-686.96,'Monthly payment #5',24950
230,'2004-07-31',34192,-686.98,'Monthly payment #4',24950
230,'2004-06-29',51512,-686.98,'Monthly payment #3',24950
230,'2004-04-28',51512,-686.98,'Monthly payment #1',24950
230,'2004-06-02',34192,-686.98,'Monthly payment #2',24950
230,'1994-09-25',46583,-265.42,'Monthly payment #4',74
230,'1994-08-27',46583,-265.42,'Monthly payment #3',74
230,'1994-07-27',15293,-265.42,'Monthly payment #2',74
230,'1994-06-24',51512,-265.42,'Monthly payment #1',74
230,'1994-04-24',51512,1585.25,'Order was shipped',74
230,'1994-10-25',89097,-258.17,'Monthly payment #5',74
232,'1994-03-30',15293,-2832.5,'Single/final payment for purchase',76
232,'1994-12-21',15293,3231.25,'Order was shipped',1020
232,'1994-02-23',89097,2832.5,'Order was shipped',76
232,'1995-01-24',15293,-3231.25,'Single/final payment for purchase',1020
234,'1994-02-22',51512,3115,'Order was shipped',297
234,'1994-03-27',15293,-3115,'Single/final payment for purchase',297
235,'2002-06-06',15293,4360,'Order was shipped',20697
235,'2002-12-08',51512,-726.67,'Monthly payment #5',20697
235,'2002-11-08',34192,-726.67,'Monthly payment #4',20697
235,'2002-10-04',51512,-726.67,'Monthly payment #3',20697
235,'2003-01-04',98766,-726.6501,'Monthly payment #6',20697
235,'1994-08-14',89097,-473.34,'Monthly payment #3',241
235,'1994-07-11',46583,-473.33,'Monthly payment #2',241
235,'1994-06-10',51512,-473.33,'Monthly payment #1',241
235,'1994-04-09',15293,1420,'Order was shipped',241
235,'2002-08-10',15293,-726.67,'Monthly payment #1',20697
235,'2002-09-06',87295,-726.67,'Monthly payment #2',20697
237,'1994-07-27',29387,3377.15,'Order was shipped',856
1,'1994-02-22',98766,-1536.67,'Single/final payment for purchase',1
1,'1994-01-20',15293,1536.67,'Order was shipped',1
2,'1994-05-29',98766,-2187.65,'Single/final payment for purchase',2
2,'1994-04-23',87295,2187.65,'Order was shipped',2
3,'1994-02-07',87295,3066.51,'Order was shipped',3
3,'1994-03-11',98766,-3066.51,'Single/final payment for purchase',3
4,'1994-08-16',98766,-1770,'Single/final payment for purchase',4
4,'1994-07-15',51512,1770,'Order was shipped',4
5,'2004-08-11',98766,-836.7,'Monthly payment #3',25184
5,'2004-07-10',51512,-836.7,'Monthly payment #2',25184
5,'2004-05-11',15293,-836.7,'Monthly payment #1',25184
5,'2004-03-09',51512,5020.2,'Order was shipped',25184
5,'1997-08-01',98766,-2963.8,'Single/final payment for purchase',4332
5,'1997-07-01',89097,2963.8,'Order was shipped',4332
5,'1994-03-28',15293,1876.23,'Order was shipped',5
5,'2004-10-09',46583,-932.93,'Monthly payment #5',25184
5,'2004-09-09',34192,-836.7,'Monthly payment #4',25184
5,'2004-11-09',87295,-836.6899,'Monthly payment #6',25184
5,'1994-05-01',98766,-1780,'Single/final payment for purchase',5
6,'1994-08-11',34192,-300.1099,'Monthly payment #6',7
6,'1994-05-10',46583,-261.67,'Monthly payment #3',7
6,'1994-01-10',51512,1608.46,'Order was shipped',7
6,'1994-04-11',46583,-261.67,'Monthly payment #2',7
6,'1994-06-13',89097,-261.67,'Monthly payment #4',7
6,'1994-03-14',34192,-261.67,'Monthly payment #1',7
6,'1994-07-09',89097,-261.67,'Monthly payment #5',7
7,'1994-06-14',34192,-1769,'Single/final payment for purchase',8
7,'1994-05-12',29387,1769,'Order was shipped',8
8,'1994-11-27',29387,-635,'Monthly payment #2',9
8,'1994-10-31',51512,-635,'Monthly payment #1',9
8,'1994-08-26',15293,1270,'Order was shipped',9
9,'2003-11-25',89097,3790,'Order was shipped',25281
9,'2004-01-26',87295,-1895,'Monthly payment #1',25281
9,'2004-02-27',34192,-1895,'Monthly payment #2',25281
9,'1994-12-11',34192,-1720,'Single/final payment for purchase',10
9,'1994-11-03',87295,1720,'Order was shipped',10
9,'1994-09-18',34192,-1835,'Single/final payment for purchase',953
9,'1994-08-17',51512,1835,'Order was shipped',953
10,'1994-11-03',29387,1320,'Order was shipped',11
10,'1994-12-07',34192,-1320,'Single/final payment for purchase',11
11,'1994-06-26',34192,-1850,'Single/final payment for purchase',12
11,'1994-05-25',29387,1850,'Order was shipped',12
11,'1994-01-24',51512,2488.2,'Order was shipped',993
11,'1994-02-27',29387,-2488.19,'Single/final payment for purchase',993
12,'1995-01-18',34192,-1970,'Single/final payment for purchase',13
12,'1994-12-17',15293,1970,'Order was shipped',13
13,'1994-12-15',51512,2470,'Order was shipped',14
13,'1995-01-19',34192,-2470,'Single/final payment for purchase',14
14,'1995-04-24',29387,-301.67,'Monthly payment #3',15
14,'1995-06-26',46583,-301.67,'Monthly payment #5',15
14,'1995-04-01',46583,-301.67,'Monthly payment #2',15
14,'1995-07-26',29387,-301.6499,'Monthly payment #6',15
14,'1994-12-04',98766,-1983.42,'Monthly payment #2',927
14,'1995-02-26',87295,-301.67,'Monthly payment #1',15
14,'1994-08-28',87295,3966.85,'Order was shipped',927
14,'1995-05-23',15293,-301.67,'Monthly payment #4',15
14,'1994-12-24',87295,1810,'Order was shipped',15
14,'1994-11-05',15293,-1983.43,'Monthly payment #1',927
15,'1995-01-17',29387,-2621.41,'Single/final payment for purchase',16
15,'1994-12-12',51512,2621.41,'Order was shipped',16
16,'1994-08-06',51512,2428.8,'Order was shipped',775
16,'1997-04-04',98766,-4299.39,'Single/final payment for purchase',4524
16,'1997-03-03',87295,4299.39,'Order was shipped',4524
16,'1995-01-26',29387,-1865.69,'Single/final payment for purchase',17
16,'1994-12-26',51512,1865.69,'Order was shipped',17
16,'1994-09-07',29387,-2428.86,'Single/final payment for purchase',775
16,'1994-10-01',29387,-3022.4,'Single/final payment for purchase',752
16,'1994-08-29',87295,3022.4,'Order was shipped',752
17,'1994-12-18',87295,1070,'Order was shipped',18
17,'1995-01-22',29387,-1070,'Single/final payment for purchase',18
18,'1994-12-29',29387,-1620,'Single/final payment for purchase',19
18,'1994-11-29',51512,1620,'Order was shipped',19
19,'1995-01-03',87295,4516.88,'Order was shipped',858
19,'1995-05-06',87295,-1505.62,'Monthly payment #3',858
19,'1995-04-05',98766,-1505.63,'Monthly payment #2',858
19,'1995-03-10',15293,-1505.63,'Monthly payment #1',858
19,'1994-12-30',87295,-1140.19,'Monthly payment #3',20
19,'1994-11-29',34192,-1140.2,'Monthly payment #2',20
19,'1994-08-28',51512,3420.59,'Order was shipped',20
19,'1994-11-03',34192,-1140.2,'Monthly payment #1',20
28,'1994-09-22',51512,1321.78,'Order was shipped',192
28,'1994-10-26',87295,-1321.78,'Single/final payment for purchase',192
28,'1997-12-29',51512,3682,'Order was shipped',4477
28,'1998-02-02',98766,-3682,'Single/final payment for purchase',4477
31,'1994-07-25',15293,1766,'Order was shipped',189
31,'1994-06-06',15293,3997.6,'Order was shipped',917
31,'1994-08-29',87295,-1766,'Single/final payment for purchase',189
31,'1994-07-10',87295,-3997.63,'Single/final payment for purchase',917
32,'1994-03-05',89097,1303.75,'Order was shipped',117
32,'1994-04-08',87295,-1303.75,'Single/final payment for purchase',117
32,'1994-06-22',89097,3267.5,'Order was shipped',814
32,'1994-07-23',87295,-3267.5,'Single/final payment for purchase',814
35,'1994-08-16',87295,-1470,'Single/final payment for purchase',213
35,'1994-08-18',87295,-4205,'Single/final payment for purchase',925
35,'1994-07-15',89097,4205,'Order was shipped',925
35,'1994-07-14',51512,1470,'Order was shipped',213
37,'1995-01-15',34192,-638.75,'Monthly payment #1',52
37,'1995-02-19',51512,-638.75,'Monthly payment #2',52
37,'1994-11-16',51512,1277.5,'Order was shipped',52
39,'1994-04-04',15293,-494.57,'Monthly payment #2',62
39,'1994-09-09',87295,-494.5798,'Monthly payment #7',62
39,'1994-08-08',87295,-494.57,'Monthly payment #6',62
39,'1994-07-07',51512,-494.57,'Monthly payment #5',62
39,'1994-05-06',15293,-494.57,'Monthly payment #3',62
39,'1994-03-04',29387,-494.57,'Monthly payment #1',62
39,'1994-01-05',87295,3462,'Order was shipped',62
39,'1994-06-10',89097,-494.57,'Monthly payment #4',62
40,'1994-07-22',87295,2965.75,'Order was shipped',255
40,'1994-09-27',46583,-423.68,'Monthly payment #1',255
40,'1994-11-24',87295,-423.68,'Monthly payment #2',255
40,'1994-12-27',98766,-423.68,'Monthly payment #3',255
40,'1995-01-22',29387,-423.68,'Monthly payment #4',255
40,'1995-02-21',87295,-423.68,'Monthly payment #5',255
40,'1995-03-23',46583,-423.68,'Monthly payment #6',255
40,'1995-04-18',87295,-423.6702,'Monthly payment #7',255
42,'1994-04-12',87295,-1554,'Single/final payment for purchase',220
42,'1994-03-09',51512,1554,'Order was shipped',220
48,'1995-07-21',46583,-229.57,'Monthly payment #6',151
48,'1995-06-22',15293,-229.57,'Monthly payment #5',151
48,'1995-05-24',15293,-229.57,'Monthly payment #4',151
48,'1995-04-21',51512,-236.82,'Monthly payment #3',151
48,'1995-03-24',89097,-229.57,'Monthly payment #2',151
48,'1995-02-27',29387,-229.57,'Monthly payment #1',151
48,'1994-12-19',15293,1614.25,'Order was shipped',151
48,'1995-08-21',89097,-229.5798,'Monthly payment #7',151
49,'1994-01-24',51512,3138,'Order was shipped',133
49,'1994-02-24',89097,-3138,'Single/final payment for purchase',133
50,'1994-10-25',89097,-300.2,'Monthly payment #1',313
50,'1995-02-24',46583,-300.2,'Monthly payment #5',313
50,'1995-01-28',51512,-300.2,'Monthly payment #4',313
50,'1994-11-21',46583,-300.2,'Monthly payment #2',313
50,'1994-08-23',51512,1501,'Order was shipped',313
50,'1994-12-21',98766,-300.2,'Monthly payment #3',313
51,'1994-01-07',87295,1845.5,'Order was shipped',164
51,'1995-06-03',89097,-278.8202,'Monthly payment #7',872
51,'1995-05-05',15293,-278.83,'Monthly payment #6',872
51,'1995-04-03',51512,-278.83,'Monthly payment #5',872
51,'1995-02-05',15293,-278.83,'Monthly payment #4',872
51,'1995-01-03',89097,-278.83,'Monthly payment #3',872
51,'1994-12-05',15293,-278.83,'Monthly payment #2',872
51,'1994-11-05',15293,-278.83,'Monthly payment #1',872
51,'1994-02-10',46583,-1845.5298,'Single/final payment for purchase',164
51,'1994-09-03',51512,1951.8,'Order was shipped',872
53,'2002-04-07',51512,4616.5,'Order was shipped',20803
53,'1994-08-11',15293,2905,'Order was shipped',87
53,'1994-09-09',89097,-2905,'Single/final payment for purchase',87
53,'2002-05-08',34192,-4616.5,'Single/final payment for purchase',20803
55,'1994-11-23',89097,-1395,'Single/final payment for purchase',58
55,'1994-10-18',87295,1395,'Order was shipped',58
57,'1994-07-12',15293,3070,'Order was shipped',69
57,'1994-08-13',89097,-3070,'Single/final payment for purchase',69
60,'1994-02-19',29387,1519,'Order was shipped',242
60,'1994-03-23',89097,-1519.01,'Single/final payment for purchase',242
64,'1995-02-01',89097,-1398.13,'Single/final payment for purchase',145
64,'1994-12-28',15293,1398.13,'Order was shipped',145
66,'1994-12-02',89097,-351.08,'Monthly payment #1',135
66,'1995-01-05',87295,-351.05,'Monthly payment #2',135
66,'1995-02-05',34192,-351.05,'Monthly payment #3',135
66,'1995-03-05',46583,-351.05,'Monthly payment #4',135
66,'1995-04-05',46583,-351.05,'Monthly payment #5',135
66,'1997-03-12',51512,3621,'Order was shipped',4342
66,'1997-04-12',98766,-3605.25,'Single/final payment for purchase',4342
66,'1997-11-28',87295,2232.39,'Order was shipped',4320
66,'1997-12-31',98766,-2232.38,'Single/final payment for purchase',4320
66,'1994-09-30',51512,1739.5,'Order was shipped',135
67,'1995-01-18',46583,-660.69,'Monthly payment #2',336
67,'1994-10-15',15293,1321.38,'Order was shipped',336
67,'1994-12-16',15293,-660.69,'Monthly payment #1',336
68,'1994-11-11',89097,-777.57,'Monthly payment #4',1039
68,'2002-05-25',34192,-4405.39,'Single/final payment for purchase',20745
68,'1994-05-05',87295,4665.4,'Order was shipped',1039
68,'1994-08-07',98766,-777.57,'Monthly payment #1',1039
68,'1994-08-18',51512,1808.4,'Order was shipped',59
68,'1994-09-07',89097,-777.57,'Monthly payment #2',1039
68,'1994-09-20',89097,-1808.4,'Single/final payment for purchase',59
68,'1994-10-07',34192,-777.57,'Monthly payment #3',1039
68,'1994-12-06',34192,-777.57,'Monthly payment #5',1039
68,'2002-04-26',51512,4405.39,'Order was shipped',20745
68,'1995-01-07',89097,-777.5498,'Monthly payment #6',1039
69,'2003-11-19',51512,2821,'Order was shipped',25568
69,'1994-06-13',51512,1802.5,'Order was shipped',152
69,'2003-12-21',34192,-2821,'Single/final payment for purchase',25568
69,'1994-07-14',89097,-1802.5,'Single/final payment for purchase',152
72,'1994-11-18',51512,-220.67,'Monthly payment #1',122
72,'1995-04-12',51512,-220.67,'Monthly payment #6',122
72,'1995-03-26',46583,-220.67,'Monthly payment #5',122
72,'1995-02-21',29387,-220.67,'Monthly payment #4',122
72,'1995-01-20',87295,-220.67,'Monthly payment #3',122
72,'1994-12-18',34192,-220.67,'Monthly payment #2',122
72,'1994-08-16',15293,1527.5,'Order was shipped',122
72,'1994-08-03',87295,-644.3,'Monthly payment #4',985
72,'1994-07-09',87295,-644.3,'Monthly payment #3',985
72,'1994-06-07',29387,-627.11,'Monthly payment #2',985
72,'1994-03-05',15293,2577.2,'Order was shipped',985
72,'1995-05-19',34192,-220.6699,'Monthly payment #7',122
72,'1994-05-09',51512,-644.3,'Monthly payment #1',985
75,'1994-04-02',15293,-1373.25,'Monthly payment #1',143
75,'1994-04-30',34192,-1373.25,'Monthly payment #2',143
75,'1994-01-28',15293,2746.5,'Order was shipped',143
76,'1994-05-11',29387,1245,'Order was shipped',215
76,'1994-07-13',89097,-646,'Monthly payment #1',215
76,'1994-08-12',46583,-646,'Monthly payment #2',215
76,'1997-04-11',87295,2410,'Order was shipped',4415
76,'1997-05-11',98766,-2363,'Single/final payment for purchase',4415
77,'1994-02-06',87295,1342,'Order was shipped',77
77,'1994-04-09',46583,-681.65,'Monthly payment #1',77
77,'1994-05-08',87295,-660.35,'Monthly payment #2',77
78,'1994-05-19',29387,1860.25,'Order was shipped',343
78,'1994-06-21',87295,-1860.25,'Single/final payment for purchase',343
79,'1994-10-24',87295,1554,'Order was shipped',95
79,'1994-11-26',87295,-1557.5,'Single/final payment for purchase',95
79,'1994-06-18',87295,-3082.5,'Single/final payment for purchase',832
79,'1994-05-16',51512,3086,'Order was shipped',832
80,'1994-11-25',87295,-1294.64,'Single/final payment for purchase',347
80,'1994-12-14',29387,1920.21,'Order was shipped',919
80,'1995-01-14',87295,-1920.21,'Single/final payment for purchase',919
80,'1994-10-22',89097,1294.64,'Order was shipped',347
81,'1994-07-20',51512,2774,'Order was shipped',266
81,'1994-10-13',51512,-1842.1,'Monthly payment #2',884
81,'1994-09-12',89097,-1868.1,'Monthly payment #1',884
81,'1994-08-21',51512,-2800.03,'Single/final payment for purchase',266
81,'1994-07-10',15293,3736.2,'Order was shipped',884
83,'2003-03-16',34192,-3112.19,'Single/final payment for purchase',22024
83,'1994-04-01',15293,1395,'Order was shipped',316
83,'1994-05-03',51512,-1395,'Single/final payment for purchase',316
83,'2003-02-09',87295,3112.19,'Order was shipped',22024
84,'1994-06-14',87295,-1051.2,'Monthly payment #2',98
84,'1994-03-15',15293,2137,'Order was shipped',98
84,'1994-05-18',46583,-1085.8,'Monthly payment #1',98
84,'2003-02-25',15293,3811.8,'Order was shipped',22892
84,'2003-05-25',51512,-1905.9,'Monthly payment #2',22892
84,'2003-04-24',29387,-1905.9,'Monthly payment #1',22892
87,'1994-10-23',87295,3470,'Order was shipped',115
87,'1994-12-22',89097,-1755,'Monthly payment #1',115
87,'1995-01-24',29387,-1715,'Monthly payment #2',115
89,'1994-12-07',15293,2879,'Order was shipped',149
89,'1995-01-13',29387,-2879,'Single/final payment for purchase',149
91,'1994-05-13',15293,1968.75,'Order was shipped',140
91,'1994-06-13',29387,-1968.75,'Single/final payment for purchase',140
92,'1994-10-17',15293,1554,'Order was shipped',346
92,'2005-01-21',51512,-3440,'Single/final payment for purchase',28085
92,'2004-12-16',15293,3356,'Order was shipped',28085
92,'2002-02-04',51512,-4129.78,'Single/final payment for purchase',19834
92,'1994-11-21',29387,-1470,'Single/final payment for purchase',346
92,'2002-01-04',29387,4129.79,'Order was shipped',19834
93,'1994-02-11',87295,1554,'Order was shipped',293
93,'1994-04-14',34192,-770,'Monthly payment #1',293
93,'1994-05-17',46583,-784,'Monthly payment #2',293
93,'1994-12-08',87295,2821,'Order was shipped',1036
93,'1995-02-12',87295,-1410.5,'Monthly payment #1',1036
93,'1995-03-15',98766,-1410.5,'Monthly payment #2',1036
95,'1994-12-18',98766,-1592.5,'Single/final payment for purchase',94
95,'1994-11-15',51512,1592.5,'Order was shipped',94
96,'1994-04-06',87295,2642.5,'Order was shipped',160
96,'1994-05-06',98766,-2642.5,'Single/final payment for purchase',160
97,'1994-09-11',51512,2720,'Order was shipped',224
97,'1994-10-14',98766,-2720,'Single/final payment for purchase',224
101,'1994-06-07',89097,1742,'Order was shipped',167
101,'1994-07-12',98766,-1766.03,'Single/final payment for purchase',167
101,'1994-07-26',87295,4140.5,'Order was shipped',754
101,'1994-08-30',98766,-4140.5,'Single/final payment for purchase',754
101,'1994-09-10',15293,3273.15,'Order was shipped',904
101,'1994-10-16',98766,-3249.15,'Single/final payment for purchase',904
103,'1994-05-14',98766,-725.32,'Monthly payment #2',843
103,'1995-01-30',15293,-2614,'Single/final payment for purchase',147
103,'1994-12-28',29387,2614,'Order was shipped',147
103,'1994-08-11',15293,-725.3201,'Monthly payment #5',843
103,'1994-06-14',98766,-725.32,'Monthly payment #3',843
103,'1994-04-12',89097,-725.3499,'Monthly payment #1',843
103,'1994-02-11',87295,3626.6,'Order was shipped',843
103,'1994-07-13',51512,-725.32,'Monthly payment #4',843
104,'1994-06-13',15293,1277.5,'Order was shipped',161
104,'1994-07-19',15293,-1277.5,'Single/final payment for purchase',161
104,'1995-01-03',87295,3194,'Order was shipped',787
104,'1995-02-03',15293,-3194,'Single/final payment for purchase',787
105,'1994-01-22',15293,1828.75,'Order was shipped',284
105,'1994-02-22',15293,-1828.75,'Single/final payment for purchase',284
105,'1994-08-31',15293,2427.5,'Order was shipped',920
105,'1994-10-04',15293,-2427.5,'Single/final payment for purchase',920
106,'1994-02-14',15293,-3486.25,'Single/final payment for purchase',817
106,'1994-06-19',51512,2583.13,'Order was shipped',903
106,'1994-07-17',51512,1530.94,'Order was shipped',105
106,'1994-07-21',15293,-2583.13,'Single/final payment for purchase',903
106,'1994-09-19',89097,-756.88,'Monthly payment #1',105
106,'1994-10-18',89097,-756.87,'Monthly payment #2',105
106,'2003-02-14',89097,2195,'Order was shipped',21830
106,'2003-03-20',51512,-2212.19,'Single/final payment for purchase',21830
106,'1994-01-12',15293,3486.25,'Order was shipped',817
107,'1994-11-22',51512,-723.92,'Monthly payment #4',862
107,'1994-05-10',89097,-3808.25,'Single/final payment for purchase',962
107,'1994-12-21',15293,-666.1702,'Monthly payment #5',862
107,'1994-10-28',15293,-1802.5,'Single/final payment for purchase',127
107,'1994-10-21',89097,-666.17,'Monthly payment #3',862
107,'1994-09-23',89097,-666.17,'Monthly payment #2',862
107,'1994-04-05',87295,3808.25,'Order was shipped',962
107,'1994-08-22',98766,-666.17,'Monthly payment #1',862
107,'1994-06-20',89097,3330.85,'Order was shipped',862
107,'1994-09-26',87295,1860.25,'Order was shipped',127
108,'1994-10-24',46583,-473.83,'Monthly payment #1',111
108,'1994-11-25',29387,-473.83,'Monthly payment #2',111
108,'1994-12-24',87295,-473.84,'Monthly payment #3',111
108,'1994-08-23',87295,1421.5,'Order was shipped',111
109,'1994-07-14',51512,2630.2,'Order was shipped',782
109,'1995-01-08',87295,-4146,'Single/final payment for purchase',944
109,'1994-12-04',87295,4146,'Order was shipped',944
109,'1994-08-06',87295,-1872.03,'Single/final payment for purchase',240
109,'1994-07-06',87295,1872,'Order was shipped',240
109,'1994-08-14',87295,-2630.2,'Single/final payment for purchase',782
111,'1994-12-05',51512,1697.5,'Order was shipped',271
111,'1995-01-09',87295,-1697.51,'Single/final payment for purchase',271
112,'1994-03-05',51512,2805.94,'Order was shipped',331
112,'1994-04-06',87295,-2805.94,'Single/final payment for purchase',331
113,'1997-05-14',89097,-1400,'Monthly payment #2',4705
113,'1994-12-05',87295,-1345.7,'Single/final payment for purchase',47
113,'1997-04-14',87295,-1400,'Monthly payment #1',4705
113,'1997-02-12',51512,2800,'Order was shipped',4705
113,'1994-11-02',15293,1345.7,'Order was shipped',47
115,'1997-10-06',89097,-3716.38,'Single/final payment for purchase',4652
115,'1997-11-05',89097,-2953.19,'Single/final payment for purchase',4301
115,'1997-10-03',51512,2953.19,'Order was shipped',4301
115,'1997-09-03',51512,3716.39,'Order was shipped',4652
115,'1994-07-20',51512,-310.61,'Monthly payment #4',199
115,'1994-06-17',87295,-310.63,'Monthly payment #3',199
115,'1994-05-20',89097,-310.63,'Monthly payment #2',199
115,'1994-04-16',89097,-310.65,'Monthly payment #1',199
115,'1994-02-18',29387,1242.5,'Order was shipped',199
117,'1994-04-21',51512,-2747.5,'Single/final payment for purchase',205
117,'1994-03-20',87295,2747.5,'Order was shipped',205
119,'1994-12-31',15293,2407.5,'Order was shipped',312
119,'1995-01-29',29387,-2402,'Single/final payment for purchase',312
119,'2002-04-19',51512,3076.87,'Order was shipped',20842
119,'2002-05-23',51512,-3082.36,'Single/final payment for purchase',20842
